"sha256","count","bytes","kind","paths"
"B610D2DC27E1BDAAF495E2E47176CD3B2093B5832F64EAE08AB387348237446E","4","10689","brand","MAGNE.AI/assets/brand/ecosystem/kucoin.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/kucoin.png | MAGNE.AI/assets/brand/partners/kucoin.png | MAGNE.AI/assets/brand/partners/ecosystem/kucoin.png"
"EC53D18FB3E700F1C58B3CCEB2ACF707335C7621D9655CE6E15ACE32F7D649D5","3","3409","brand","MAGNE.AI/assets/brand/ecosystem/kucoin_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/kucoin_web.png | MAGNE.AI/assets/brand/partners/ecosystem/kucoin_web.png"
"0EB7BCA7601D4FC0AA47F57103272D9F4C51370E4347152D8B948661E73AC138","4","20756","brand","MAGNE.AI/assets/brand/ecosystem/landload_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/landload_web.png | MAGNE.AI/assets/brand/partners/landload_web.png | MAGNE.AI/assets/brand/partners/ecosystem/landload_web.png"
"391E2C4794C14DBC0E47F86A3767E90FADD3BC8563FA9551047092030FAE0D57","4","6287","brand","MAGNE.AI/assets/brand/ecosystem/lbank.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/lbank.png | MAGNE.AI/assets/brand/partners/lbank.png | MAGNE.AI/assets/brand/partners/ecosystem/lbank.png"
"6019E288175924E9AC41A4316688D2C3E1CD4981E3A847C9FD0454229E068E9B","4","10049","brand","MAGNE.AI/assets/brand/ecosystem/linklayer.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/linklayer.png | MAGNE.AI/assets/brand/partners/linklayer.png | MAGNE.AI/assets/brand/partners/ecosystem/linklayer.png"
"EE2F1FED5BAE7FF324F61F7F221BB652AEE08F90B8719A720EF95D2D2A1D75DA","5","62319","brand","MAGNE.AI/assets/brand/ecosystem/linklayer_ai.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/LinkLayer AI.png | MAGNE.AI/assets/brand/partners/rei-network.png | MAGNE.AI/assets/brand/partners/ecosystem/LinkLayer AI.png | MAGNE.AI/assets/brand/partners/ecosystem/linklayer_ai.png"
"8EF9AEEE31CD9533CA74A40D08AB3DA3389E8B70EA54C1E5E92C4BBA7DDE3A79","2","2621","brand","MAGNE.AI/assets/brand/ecosystem/linklayer_ai_web.png | MAGNE.AI/assets/brand/partners/ecosystem/linklayer_ai_web.png"
"30F7CEDE0D012163503D18AD22F13E4F46BB6D9798E56C751909F3DFEAD8D06A","6","495361","brand","MAGNE.AI/assets/brand/ecosystem/logo.png | MAGNE.AI/assets/brand/ecosystem/snowball.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/logo.png | MAGNE.AI/assets/brand/partners/logo.png | MAGNE.AI/assets/brand/partners/ecosystem/logo.png | MAGNE.AI/assets/brand/partners/ecosystem/snowball.png"
"F878D4D2E970CF734E55EE826CEF321D1016CD56EA80AE6FBC5673A8BB483DDC","4","883903","brand","MAGNE.AI/assets/brand/ecosystem/manuspay.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/manuspay.png | MAGNE.AI/assets/brand/partners/manuspay.png | MAGNE.AI/assets/brand/partners/ecosystem/manuspay.png"
"2759F7CC65507025E8C5623202B6CD8D6FC90A7DC2186016D5DCA1E74CCA3DDB","2","5012","brand","MAGNE.AI/assets/brand/ecosystem/manuspay_web.png | MAGNE.AI/assets/brand/partners/ecosystem/manuspay_web.png"
"7A9E943C62DFBBFF49253501165AE0C787B4B1CD71528AC2562CFBDFDE81858C","4","7805","brand","MAGNE.AI/assets/brand/ecosystem/medium.png | MAGNE.AI/assets/brand/ecosystem/meta_arena.png | MAGNE.AI/assets/brand/partners/ecosystem/medium.png | MAGNE.AI/assets/brand/partners/ecosystem/meta_arena.png"
"05DFAB98720CEB3A8F05241D70D425BDD3BAD937A0C72BC804A79E5D6DB4624A","2","4250","brand","MAGNE.AI/assets/brand/ecosystem/medium_web.png | MAGNE.AI/assets/brand/partners/ecosystem/medium_web.png"
"26D686053F8076D0B43E88FACE510F1AB9E6817F71FB3767D5726B062A33AE6A","3","3794","brand","MAGNE.AI/assets/brand/ecosystem/menya_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/menya_web.png | MAGNE.AI/assets/brand/partners/ecosystem/menya_web.png"
"7B1C14CDEE2457378825E70B047081B88B638E9310DF39D0B8494932DFA6FA61","2","4250","brand","MAGNE.AI/assets/brand/ecosystem/meta_arena_web.png | MAGNE.AI/assets/brand/partners/ecosystem/meta_arena_web.png"
